essay_id,prompt,essay,score
4318,2,"Books, magazines, movies, and music are created with a huge diversity. Fiction, @ORGANIZATION1, horror, fashion, sciencefiction, and many more categories of literature are made. There is something out there everyone will enjoy. What would you do if you did not have the choice to read, listen to, or watch the materials you like because someone else had an ill opinion of it?     Everyone has an opinion. It @MONTH1 be in favor of something or it @MONTH1 not be. I believe every book, movie, magazine, and other piece of literature should have a rightful place on the shelf. To some people it @MONTH1 be offensive, but that does not mean they have to read it. Someone @MONTH1 enjoy a piece of work  another finds offensive. It is all a matter of opinion. The opinion of one person should not effect materials being able to be on a shelf or not.      If you walked into a libraray and the shelves were filled with books, but only books everyone had a good opinion about the shelves wouldn't seem very full. It is hard to get two people to agree on the same thing. Imagine trying to get everyone to agree on the literature in a public libraray. Censorship is understandble to an extent, but I believe the libraries should organize all their literature into categories and sections. In these categoires and section people @MONTH1 look for the materials they wish to see and avoid the offensive materials they do not.      Libraries have rated @CAPS1 movies. Many people could consider rated @CAPS1 movies to be offensive, but many people could enjoy watching rated @CAPS1 movies. Who wins, the people who find then offensive or the people who enjoy them? It is a hard choice to make. I believe the libraries should carry the movies and if someone finds them offensive they should simply not watch them. The same goes for books, magazines, and music. If you find it offensive simply do not read it or listen to it.     There are hundreds of different sytles of writing, plots of movies, lyrics of songs, and covers of magazines. They have such a diversity because everyone has a different opinion of the lyrics, covers, styles, and plots. They can not censor things just because some people find them offensive. Others @MONTH1 enjoy them. What would you do if your favorite book was not allowed in your public lirbaray",4.0
4579,2,"Personally I believe that items that are found offensive should be left on the book shelves. People that find them offensive don't have to read them they can just ignore them and move on with their life.     Students @MONTH1 need to use that certain information in a classroom. If libraries take the information out of the library the students will not be able to find the info needed for their project or paper. Students will eventually learn all about these offensive magazines, movies, music, and books someday in their lifetime. If offensive books are taken down where else will they go, they are still going to be offensive somewhere else.     Libraries who have offensive books are not trying to offend anyone in anyway, they are on the shelves for the education of the reader or viewer. If movies are that offensive, don't rent them and save yourself and the libraries time. People get offended by all of these readings from a certain library, if the library chooses not to take the books off the shelves then go to a different library. Also the internet will more than likely have all of the information that is just as offensive.     Internet is a virtual library, you can search videos, books, magazines, and music. If people think they are getting rid of the offensive books, magazines, etc. They are wrong because the internet will hold that information for as long as it needs to. Library censorship is a pointless act due to the information provided on the internet. Libraries should be able to choose the books and information that they have in their building. As long as those books, music, magazines, movies, etc, are put in the right section.     The movies that parents don't want their children to see @MONTH1 be placed in the wrong section of the library. In that point of view you could see why parents are getting upset about inappropriate items on the shelves. The books should be divided so that children have their own section of the library and adults have their own section as well.     Most of these offensive items are not placed in libraries because of this problem with people being offended. Movies that are that offensive should probably be in a movie store that states that the movies are offensive and could be inappropriate. Maybe people over react to the situation and don't realize that the movie, book, etc, are not offensive enough to make an argument over it. I personally have never been to a library and saw a book, magazine, movie, song that was offensive to me or my family.     What does an offensive book look like? More than likely it has something to do with someone's religion, ethnicity, etc. Items are only offensive to certain people. If you or someone you know that is offended greatly by a book, song, magazine, or movie in a specific library don't go back or tell the person you know as well.     In conclusion if a book, movie, etc, is that offensive in a library near by, avoid that library and don't worry about going back. Offensive material could also be learning material",4.0
16583,6,"Al Smith had incredible vision with his plans for the Empire State Building. However, his excitement about dirigibles being allowed to dock at the top of the building, blinded him to the obvious obstacles in the way. Dirigibles themselves, were not safe modes of transportation. Hydrogen is very flammable, and would not be safe near large crowds of people, like in an urban area like New York. From a practical viewpoint the mooring mast would not work either, because of the high elevation. The height of the building would have violent winds @CAPS1 it difficult for dirigibles to land for passengers to disembark. The final major problem was that there was a law stating that  airships were not to fly too low over urban areas. Irvan Clavan summed it up when he said ""The as yet unsolved problems of mooring airships to a fixed mast at such a height made it desirable to postpone to a later date the final installation of the landing gear."" However, technology soon made dirigibles outdated.",3.0
16609,6,The @CAPS1 says the greatest obstacle would be nature itself. The wind would blow the blimps on to the Sharp spires of other buildings.,1.0
3189,2,"Books have been apart of every single person's life as soon as they learn to read. First our parents read us books to get us to go to sleep. Then our teachers read us books to teach us things or to keep us preoccupied. Then, when we get a little older, we are assigned to read books for classes. There is even reading in the workplace, whether it be reciepts or orders or recipes. Readings is something that we cannot get away from. This leads me to say that authors write books for an audience and write the book as best they can to atrract the attention of the audience. I do not believe that books, regardless if one person deems them offensive, should be removed from the shelf that they have been placed on. I think that there are things we can do if we do not want to read that particular book. There are also things parents can do to ensure that the books their children are reading are appropriate and not offensive. Also there are advantages to reading books that @MONTH1 show something different that that person @MONTH1 have experienced before.     First, I feel that books should not be removed from libraries because some people think that they are offensive. Everyone has an opinion and just because one person does not like the book, should not mean that the experience of reading that book should be taken away from someone else. If you find a book to be offensive, you can simply stop reading the book. Just because you do not enjoy it does not mean someone else will not also. That is just apart of humans having their own opinions.     On a different note, I think that childrens' books are a little bit different. Parents have the right and responsibility to protect their children. I believe that parents should take a proactive role in monitoring their children. For young children, I think that parents should just read the book first and judge whether or not they think they're child should read it. Then for young adults, I think that parents could try to look up somethings about the book. The internet is a great source for reviews and ratings of books. Therefore, I believe that censorship for childrens' books is a responsibilty of the parent.     Lastly, I think books that are different to everyone and can be interpreted differently. When I read a book, think about the scheme, imagine the characters, and react to the events, I come up with my own opinion of the book. My friend, who is also reading the same book, could form a completely different opinon of the book. But we both gained something by reading the book.      In conclusion, I think that books should be censored by parents and that is it. I think that reading books is a very positive thing. So no one should have the right to tell people what they should and should not read. Also, books are things that can be discussed and everyone can make their own opinions about. It is my opinion that every book should have its own place on a shelf.",4.0
16549,6,"Some of the obstacles that builders of the Empire State Building faced in attempting to allow dirigables to dock there Were things such as how to dock a dirigible to a bulding, feuling and Service, how to get passengers on and off as safe as possible, they also Should have thought about @CAPS1 a thousand foot dirigible @CAPS2 from the top of the building might do to its structure.The architects and engineers of the empire State building consulted with expert, letting people from the U.S. naval air station take a tour of the equipment and the mooring mast. (Which is the anchor for the dirigible) The passengers of the dirigible could get on and off by walking down a gang plank to an open observation platform.In all, over sixty thousand dollers worth of modifications had to be made to the builings foundation. And some dirigibles couldnt even dock",1.0
4443,2,"Every individual has their own opinion on censorship. Some people believe that, in some instances, it is perfectly fine, but others disagree. I'm one person that thinks that, in some instances, things should be censored.       Schools have the right to censor what is put in their libraries for their students to read, especially magazines. Some of the magazines out there have articles in them that arent appropriate for school hours or even in the school building. Schools @MONTH1 not want something inapropriate on their shelves where students can see it. Censorship is even more understandable in elementary schools. Younger students' libraries should be monitored even more carefully. Younger kids, such as elementary age, don't really know what they should and shouldn't read.     In public libraries, things are a little different. Parents can usually monitor what their kids check out. Most adults know to read the summary on the back of the book to know what is being checked out. If the summary is too vague, then they know to read a few pages inside the book.     A couple of times, I've gone to the public library and I checked out a book that I thought was a suspense. When I got home and began reading it, it turned out I was wrong. The book was a romance book that I didn't care to read. So, I returned the book to the library. Most of the time you can read the synopsis on the back of the book, but that doesn't always reveal too much about the book. So, the best thing you can do is read a couple of pages out of the book before you check it out.    Everyone has a right to their own opinion on censorship. I believe that in some instances things available to be checked out should be censored. In other instances, things should be left up to the adults and the parents to decided what they want to be allowed  to checked out.",4.0
3112,2,"Libraries should never remove any material just because it @MONTH1 be found offensive.  Something that is offensive to one person @MONTH1 not be to another.  If the material was so offensive that it went against the law, then it probably wouldn't have been published in the first place.       People often get offended if they read, see, or listen to something that goes against their personal views, ethics, or religion.  But people need to learn to understand that other people think differently and have different values.  Though peoples' opinions differ, each opinion is equally important to that certain person.     So many media sources today are censored that it is essential to keep a place where people can freely obtain material and express opinions.  As a student I often have a hard time finding meaningful literature in the school library because it is so censored.  I am not complaining about this because I understand that schools have to be careful of what they are exposing students to.  But if I am looking for something maybe more religious, derogoratory, or less accepted, it is nice to have a public library where I can find these things.       In closing, if people are offended by something on the shelves of a library then they shouldn't read, watch, or listen to it.  But do not censor everything so that people who do enjoy these materials can no longer easily access them",3.0
15711,6,"In the excerpt 'The Mooring Mast"" by Marcia Amidon Lüsted the builders of the Empire State Building faced many obstacles in attempting to allow dirigibles to dock there. First of all, if a thousand-foot dirigible held by a single cable tether was moored at the top of the building, it would add stress to the frame. The workers had to transmit the stress ""All the way to the building's foundation, which was nearly eleven hundred feet below."" They had to modify & strengthen the frame, which would cost over sixty thousand dollars. They also had to design an ornamental mast with four wings to house the mooring arm. What the builders did not realize was that their mooring mast not only had problems the frame work, but the dirigible would swivel around without being able to use lead weights to hold it down. There was nothing they could do to prevent this, flammability, or existing laws.",2.0
4720,2,"I believe that profanity has a good side and a bad side. The good side is profanity is it give books, music, and movies taste and texteure it shows how a person feels most times it's anger. Profanity also can change a person behavior, by the way people talk and act. I personally think that profanity is a good and bad i like it in music and movies but i hate it when people talk trash. I think they should take it off the shelves depending on the person age for example age three and thirteen books should not contain profanity but ages fourteen and up can.           The reason why people should take it off the shelves is beacuse kids should have a healthy and profanity free life. They should have a a good development turds learning. Books and other intertaiment should have no profanity because kids at a young age learn easly and if they take in the bad actions of others they will be bad themselfs. The reason why people should be aware of this problem is if you don't like profanity dont buy it. Also keep out of kids reach. The main reason why people swears is because of movies and songs it changes a person dramaticly. Talking with profanity in your mouth can change your life but not having a good job getting in jail raising up bad kids that learn from the parents mistakes.      In a @CAPS1 profanity is good for movies it gives it action and drama. profanity is words that are most times negative expressing anger and rudeness. We have a @CAPS2 full of profanity this is like a wide spred deases. Passing on from people to kids to their kids. I have expeariance this the hard way beacuse im chinese and i came to the united states back in @DATE1, i did not know any english. People would cuss at me all the time the could all be avoided if we didnt have any profanity in our daily usage of books, music, and movies. I have learned alot about people by the way they talk letting me know who to stay away from. We should keep profanity but limit it from kids. Profanity is like ice cream people wants it and other dont. People could make there choice of putting themselfs in a profanity free life. people can do what they think is the right thing to do. Taking it off the shelves for kids is what i think is the right thing to do but not adults.     Due to profanity people tend to put themselfs in truble. For example some people in the use gets pulled over by a officer for a low cost speeding ticket but then they would swear at the officer putting them selfs in more truble this could all be avoided if he didnt have ever said anything. Profanity could also make a good motivational speech i know this beacuse im on the @LOCATION1 football team. Before every game our coach would motivate us by giving us a speech to get us pumped up with profanity in it. So in the end what im saying is porfanity should say but keep it out of reach of kids for books parents dont buy them if you dont want your kids to see them. Movies read the lable on the back of the @CAPS3 and see the agae limit and for profanity. Lock up the @ORGANIZATION1 shows that have profanity in it so your kids have no acess to them. If you dont want any part of profanity you can make yourself to stayway from it. We all know the there is nothing you can do about others useing profanity just dont use it yourself and stay clean do what you think is right",4.0
